USER: sqlUser | DATE AND TIME: 2023-02-21T16:08:08.542090400-07:00[America/Denver] | LOGIN RESPONSE: success
USER:  | DATE AND TIME: 2023-02-21T16:09:40.370961900-07:00[America/Denver] | LOGIN RESPONSE: failed
USER: sqlUser | DATE AND TIME: 2023-02-21T16:09:57.451343600-07:00[America/Denver] | LOGIN RESPONSE: failed
USER: test | DATE AND TIME: 2023-02-21T17:08:41.229892900-07:00[America/Denver] | LOGIN RESPONSE: failed
USER: sqlUser | DATE AND TIME: 2023-02-21T18:38:48.149556600-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-21T21:39:54.783337900-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:23:07.789185500-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:25:45.323688800-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:30:45.834359100-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:36:16.373928900-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:40:24.465133300-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:41:03.348977700-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:45:56.291441400-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T16:58:00.080692200-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:00:32.037157800-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:10:04.425472900-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:11:38.217670500-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:17:02.617860500-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:17:57.337025800-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:20:39.283191900-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:27:18.218383800-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:28:20.831406100-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:31:53.451883500-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:34:23.192198700-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:37:28.053933500-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:43:46.550473-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:44:53.774551900-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:48:49.079844-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:50:47.089830200-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:52:23.400637200-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:53:24.056835300-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:53:59.490947-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:55:38.860228300-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:56:40.429245900-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T17:58:37.927674800-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T18:01:50.995729300-07:00[America/Denver] | LOGIN RESPONSE: success
USER: sqlUser | DATE AND TIME: 2023-02-22T18:03:10.210696600-07:00[America/Denver] | LOGIN RESPONSE: success
